"Location","Rep","Treatment","Genotype","PIT","NOPPT","Yield_Bu_Ac","TW","Yield_Mt_Ha"
"HUG21",3,"Absent","Shirley",0.0714285714285714,0.122448979591837,46.0116654601542,52.9,3.09426129523565
"HUG21",3,"Absent","LA03136E71",0.04,0.16,53.9046626352577,55.6,3.62506137426078
"HUG21",3,"Absent","Jamestown",0.117647058823529,0.431372549019608,42.4142469522928,56,2.85233671501633
"HUG21",4,"Present","LA03136E71",0,0,54.1324528419331,55.2,3.64038015076887
"HUG21",4,"Present","Shirley",0.032967032967033,0.120879120879121,52.0333555234627,53.5,3.49921691482601
"HUG21",4,"Absent","LA03136E71",0.0689655172413793,0.160919540229885,49.432039879179,54.7,3.32427974977666
"HUG21",4,"Present","NC11546-14",0.0104166666666667,0.0104166666666667,59.4904134194909,55.4,4.00070029720853
"HUG21",4,"Absent","NC11546-14",0.0123456790123457,0.0123456790123457,65.9133773336519,55.5,4.43264138087773
"HUG21",4,"Present","SS8641",0.136363636363636,0.363636363636364,59.6031347498639,54,4.00828074982272
"HUG21",4,"Absent","Shirley",0.293333333333333,0.866666666666667,38.7091543378065,51.8,2.6031711054342
"HUG21",4,"Absent","SS8641",0.176470588235294,0.509803921568627,56.4306220552102,54.3,3.79493087123135
"HUG21",4,"Absent","Jamestown",0.0810810810810811,0.22972972972973,39.1713470055249,55.7,2.63425332922158
"HUG21",4,"Present","Jamestown",0.0123456790123457,0.0246913580246914,50.3113914585382,56.4,3.38341569996894
"HUG21",4,"Present","USG3404",0.0533333333333333,0.186666666666667,26.4676413347545,53.9,1.77993553024576
"HUG21",4,"Absent","USG3404",0.322222222222222,0.533333333333333,22.6140664402384,53.1,1.52078456222182
"HUG21",5,"Absent","Jamestown",0.0444444444444444,0.0777777777777778,49.8621494191966,55.2,3.35320439940798
"HUG21",5,"Present","Jamestown",0.0111111111111111,0.0111111111111111,54.4931141482082,56.4,3.66463444170869
"HUG21",5,"Present","LA03136E71",0,0,53.3884372853994,55.4,3.59034547985201
"HUG21",5,"Absent","USG3404",0.166666666666667,0.393939393939394,11.7471198303365,53.6,0.789987883680999
"HUG21",5,"Present","SS8641",0.0806451612903226,0.0806451612903226,62.9398191565083,54.4,4.23267109324199
"HUG21",5,"Absent","LA03136E71",0.0298507462686567,0.0597014925373134,49.4584888966494,56,3.32605843286142
"HUG21",5,"Present","NC11546-14",0,0,61.7695283849749,55.7,4.15396962911734
"HUG21",5,"Absent","SS8641",0.192982456140351,0.736842105263158,50.4122185562027,54.6,3.39019627143259
"HUG21",5,"Present","Shirley",0,0,49.8157071355615,52.9,3.35008117925767
"HUG21",5,"Absent","Shirley",0.118811881188119,0.346534653465347,35.6893495058553,52.6,2.40009075358812
"HUG21",5,"Present","USG3404",0.153846153846154,0.230769230769231,24.8023313782576,53.1,1.66794427560576
"HUG21",5,"Absent","NC11546-14",0.00892857142857143,0.0535714285714286,60.5631636576609,55.3,4.07284220966112
