"Combination 1","Combination 2","Trait","Location","Estimate","SE","DF","T-Ratio","P(>T)"
"Jamestown Absent","Jamestown Present","Grain Yield","CUN22",-0.381704235778794,0.189003243560189,76.2937402379678,-2.019564471957,0.678936200061667
"LA03136E71 Absent","LA03136E71 Present","Grain Yield","CUN22",-0.0560818727290039,0.18211696940718,76.0006522981637,-0.307944245456968,0.999999981639396
"(NC11546-14 Absent)","(NC11546-14 Present)","Grain Yield","CUN22",-0.0605782441143167,0.18211696940718,76.0006522981633,-0.332633715087114,0.999999957927076
"Shirley Absent","Shirley Present","Grain Yield","CUN22",-0.677443101088967,0.18211696940718,76.0006522981637,-3.71982415089682,0.0182644122379874
"SS8641 Absent","SS8641 Present","Grain Yield","CUN22",-0.223020279718926,0.18211696940718,76.0006522981633,-1.22459911585885,0.985260540618647
"USG3404 Absent","USG3404 Present","Grain Yield","CUN22",-0.258307211813582,0.18211696940718,76.0006522981633,-1.41835883088991,0.956242648163299
"Jamestown Absent","Jamestown Present","Grain Yield","CAS22",-0.337339745167727,0.164925373987101,76.9999999999985,-2.04540839903817,0.661584662038293
"LA03136E71 Absent","LA03136E71 Present","Grain Yield","CAS22",-0.0138885038262124,0.164925373987101,77.0000000000001,-0.0842108372438715,1
"(NC11546-14 Absent)","(NC11546-14 Present)","Grain Yield","CAS22",-0.235165144595488,0.164925373987101,77.0000000000001,-1.42588819967679,0.95465769147137
"Shirley Absent","Shirley Present","Grain Yield","CAS22",-0.653813063612242,0.164925373987101,77.0000000000001,-3.96429638330472,0.00841110101149212
"SS8641 Absent","SS8641 Present","Grain Yield","CAS22",-0.231635389454998,0.164925373987101,77.0000000000001,-1.40448606454647,0.959195073597968
"USG3404 Absent","USG3404 Present","Grain Yield","CAS22",-0.183135704279765,0.164925373987101,77.0000000000001,-1.11041557676921,0.993334500782284
